id,firstname,lastname,date_of_birth,gender,ethnicity_code
4,Cody,Green,2005-11-10,Male,N
5,Cassidy,Dixon,1964-01-11,Female,D
6,Matthew,Sullivan,1991-01-11,Male,K
7,Lisa,Bowers,1981-09-07,Female,H
9,Kevin,Woods,1962-12-30,Male,C
10,Teresa,Silva,1962-09-12,Female,C
11,Shannon,Odonnell,1999-04-02,Female,M
12,Susan,Wagner,1961-10-07,Female,C
13,Anthony,Campbell,1958-03-24,Male,B
14,Stephanie,Campos,1987-09-02,Female,J
16,Matthew,King,1995-03-24,Male,L
17,Tara,Browning,2006-06-02,Female,N
18,Wayne,Mcgrath,1969-11-12,Non-binary,E
19,Jennifer,Patrick,1971-04-21,Female,E
20,Evelyn,Barrera,1982-01-17,Female,H
22,Tammy,Blair,2003-08-31,Female,N
24,Michelle,Sutton,1990-03-16,Female,K
25,Gerald,Kennedy,1991-06-15,Male,K
27,William,Hamilton,1964-03-15,Male,D
31,Lee,Woods,2006-01-24,Male,N
32,Erin,Grimes,1961-08-11,Female,C
33,Steven,Green,1999-06-03,Male,M
35,Regina,Dunn,1992-02-08,Female,K
36,Christopher,Smith,1976-12-24,Male,G
38,David,Ross,1991-12-24,Male,K
39,Michelle,Summers,1980-10-08,Female,G
40,Lisa,Barnett,1995-11-28,Female,L
42,Caitlin,Snyder,1967-01-25,Female,D
43,Tammy,Dillon,1951-03-05,Female,A
44,Ralph,Sanchez,1989-07-20,Male,J
46,Robin,Harrell,2000-11-06,Female,M
47,Raymond,Lee,1997-02-28,Male,L
48,Ashley,Bradley,1996-12-05,Female,L
49,Raymond,Allen,1987-02-24,Male,J
50,Sara,Ponce,2004-08-20,Female,N
51,Nicole,Pratt,1968-08-17,Female,E
53,Michael,Miller,1970-07-08,Male,E
56,Deborah,Cantu,1955-10-29,Female,B
57,Richard,Rodriguez,1983-07-03,Male,H
58,Madison,Arnold,2005-08-13,Female,N
59,Katrina,Mann,1983-08-12,Female,H
60,Kimberly,Kelley,1988-01-15,Female,J
62,Amanda,Fernandez,2002-09-12,Female,M
64,Patricia,Morrison,1962-04-18,Female,C
67,Janice,Carlson,1997-06-12,Female,L
69,Stacey,Johnston,1968-11-20,Female,E
72,Bradley,Lopez,1995-07-29,Male,L
73,Jenna,Salazar,1956-10-10,Female,B
74,Lauren,Douglas,1952-04-02,Female,A
75,William,Alvarez,1950-10-27,Male,A
76,Anthony,Davis,1968-09-23,Male,E
78,Tamara,Mcdowell,1978-11-25,Female,G
80,Linda,Kirby,1996-10-07,Female,L
81,Jennifer,Villanueva,1979-02-05,Female,G
83,Michele,Fernandez,1952-11-14,Female,A
84,Jason,Myers,1984-10-12,Male,H
86,Tyler,Hill,1959-06-25,Male,C
87,Victoria,Cain,2003-02-09,Female,N
88,Amy,Atkinson,1974-07-12,Female,F
89,Sara,Jacobson,1951-10-26,Female,A
90,Sherry,Lawrence,1985-05-30,Female,J
91,Brianna,Herring,1988-12-30,Female,J
92,Teresa,Riley,1953-02-09,Female,A
93,Cameron,Hayes,1992-04-20,Male,K
94,Christine,Keller,1975-12-21,Female,F
95,Stephanie,Davies,1950-05-03,Non-binary,A
96,Sandra,Stark,1964-04-05,Female,D
97,Laura,Leon,1958-04-14,Female,B
98,Dwayne,Miller,1990-05-31,Male,K
99,Dawn,Salazar,1953-03-23,Female,A
103,Anthony,Sanchez,1973-07-13,Male,F
107,Dominique,Norton,1970-07-25,Female,E
108,Raymond,Cook,2000-02-24,Male,M
109,Sandra,Cabrera,1994-07-11,Female,L
110,Jordan,Garcia,1980-03-19,Male,G
111,Todd,Thomas,1972-11-18,Male,F
112,Ashley,Wolfe,1954-06-22,Female,B
113,Gary,Williams,1959-05-17,Male,C
114,Natalie,Berry,1960-01-06,Female,C
115,Erica,Kent,1985-12-12,Female,J
116,Brianna,Ferguson,1997-12-24,Female,L
118,Arthur,Johnson,1953-06-29,Male,A
120,Dawn,Obrien,1953-04-01,Female,A
121,Evelyn,Johnston,1991-06-26,Female,K
122,John,Myers,2005-08-16,Male,N
123,Joseph,Wood,1997-03-08,Male,L
125,Ethan,Johnson,1975-10-07,Male,F
126,James,Smith,1993-10-17,Male,K
127,Jennifer,Woodward,1956-03-10,Female,B
128,John,Lopez,1991-11-05,Male,K
130,Benjamin,Clark,1965-01-26,Male,D
131,Colleen,Owen,1969-07-04,Female,E
132,Maria,Giles,2002-05-10,Female,M
133,Ronald,Johnson,1968-12-23,Male,E
134,Jorge,Coleman,1969-05-18,Male,E
137,Christopher,Walker,1961-08-08,Male,C
139,Keith,Bell,1991-04-26,Male,K
140,Matthew,White,1952-11-19,Male,A
141,Kelly,Gordon,1993-10-07,Female,K
142,Keith,Williams,1997-12-15,Male,L
143,Harold,Garcia,1952-07-11,Male,A
144,Elizabeth,Mcneil,2006-08-21,Non-binary,N
146,James,Howard,1955-05-11,Male,B
147,Robin,Dennis,1998-06-20,Female,M
148,Natasha,Massey,1984-02-16,Female,H
149,Summer,Sellers,1967-11-05,Female,E
150,John,Jackson,1984-04-14,Male,H
151,Haley,Chambers,1961-11-30,Female,C
152,Paula,Levy,1974-12-10,Female,F
153,Andrew,Brown,1998-12-23,Male,M
154,Janet,Lowe,1985-08-14,Female,J
155,Vanessa,Bruce,1991-07-22,Female,K
156,Gordon,Peterson,1990-08-16,Male,K
